SAMPLE1	SAMPLE2	H-SCORE
L4	L5	0.0293471012787322
L4	L6	0.0352651604299051
L4	L7	0.0348562406840825
L4	L8	0.0386829580816401
L4	L9	0.0380654925341911
L4	L10	0.0326433016919013
L4	L11	0.0342616563374389
L5	L6	0.0366079600428859
L5	L7	0.0379752752281583
L5	L8	0.0369446405690228
L5	L9	0.0338945765016605
L5	L10	0.0325161475902827
L5	L11	0.0339122277137104
L6	L7	0.0336412489213148
L6	L8	0.0299008263382234
L6	L9	0.037920033471928
L6	L10	0.0356760414215109
L6	L11	0.04128879997908
L7	L8	0.0366743155252216
L7	L9	0.0393831228262859
L7	L10	0.0323157736460866
L7	L11	0.0343812923302215
L8	L9	0.0374692738160613
L8	L10	0.0366576449360634
L8	L11	0.0408543840380743
L9	L10	0.0365474882979001
L9	L11	0.0375303993096415
L10	L11	0.0347866164587746
