	11
	L1	L4	L2	L5	L6	L7	L8	L9	L10	L3	L11
L1	0	6045	3301	5962	6194	6159	6150	6224	6143	3961	6161	
L4	6045	0	6138	2911	3095	2820	2947	2977	2868	6044	3068	
L2	3301	6138	0	6151	6315	6228	6289	6367	6242	4200	6286	
L5	5962	2911	6151	0	2960	2827	3072	2978	2931	6171	3275	
L6	6194	3095	6315	2960	0	2693	2828	2756	3083	6197	3071	
L7	6159	2820	6228	2827	2693	0	2929	2789	2970	6100	3038	
L8	6150	2947	6289	3072	2828	2929	0	2854	3013	6073	3105	
L9	6224	2977	6367	2978	2756	2789	2854	0	2973	6167	3053	
L10	6143	2868	6242	2931	3083	2970	3013	2973	0	6086	3132	
L3	3961	6044	4200	6171	6197	6100	6073	6167	6086	0	6090	
L11	6161	3068	6286	3275	3071	3038	3105	3053	3132	6090	0	
