	11
	L1	L4	L2	L5	L6	L7	L8	L9	L10	L3	L11
L1	0	0.0151125	0.0082525	0.014905	0.015485	0.0153975	0.015375	0.01556	0.0153575	0.0099025	0.0154025	
L4	0.0151125	0	0.015345	0.0072775	0.0077375	0.00705	0.0073675	0.0074425	0.00717	0.01511	0.00767	
L2	0.0082525	0.015345	0	0.0153775	0.0157875	0.01557	0.0157225	0.0159175	0.015605	0.0105	0.015715	
L5	0.014905	0.0072775	0.0153775	0	0.0074	0.0070675	0.00768	0.007445	0.0073275	0.0154275	0.0081875	
L6	0.015485	0.0077375	0.0157875	0.0074	0	0.0067325	0.00707	0.00689	0.0077075	0.0154925	0.0076775	
L7	0.0153975	0.00705	0.01557	0.0070675	0.0067325	0	0.0073225	0.0069725	0.007425	0.01525	0.007595	
L8	0.015375	0.0073675	0.0157225	0.00768	0.00707	0.0073225	0	0.007135	0.0075325	0.0151825	0.0077625	
L9	0.01556	0.0074425	0.0159175	0.007445	0.00689	0.0069725	0.007135	0	0.0074325	0.0154175	0.0076325	
L10	0.0153575	0.00717	0.015605	0.0073275	0.0077075	0.007425	0.0075325	0.0074325	0	0.015215	0.00783	
L3	0.0099025	0.01511	0.0105	0.0154275	0.0154925	0.01525	0.0151825	0.0154175	0.015215	0	0.015225	
L11	0.0154025	0.00767	0.015715	0.0081875	0.0076775	0.007595	0.0077625	0.0076325	0.00783	0.015225	0	
