	11
	L1	L4	L2	L5	L6	L7	L8	L9	L10	L3	L11
L1	0	0.29819455406472	0.16283543804262	0.294100236779795	0.305544593528019	0.303818074191002	0.30337411207577	0.307024467245462	0.303028808208366	0.195392659826361	0.303916732438832	
L4	0.29819455406472	0	0.302782162588792	0.143597079715864	0.15267363851618	0.139108129439621	0.145372928176796	0.146852801894238	0.14147592738753	0.298145224940805	0.151341752170481	
L2	0.16283543804262	0.302782162588792	0	0.303423441199684	0.311513417521705	0.307221783741121	0.310230860299921	0.314078531965272	0.307912391475927	0.207182320441989	0.310082872928177	
L5	0.294100236779795	0.143597079715864	0.303423441199684	0	0.146014206787687	0.139453433307024	0.151539068666141	0.146902131018153	0.144583662194159	0.304410023677979	0.161552880820837	
L6	0.305544593528019	0.15267363851618	0.311513417521705	0.146014206787687	0	0.132843330702447	0.139502762430939	0.135951065509077	0.152081689029203	0.305692580899763	0.151489739542226	
L7	0.303818074191002	0.139108129439621	0.307221783741121	0.139453433307024	0.132843330702447	0	0.14448500394633	0.137578926598264	0.146507498026835	0.300907655880032	0.149861878453039	
L8	0.30337411207577	0.145372928176796	0.310230860299921	0.151539068666141	0.139502762430939	0.14448500394633	0	0.140785319652723	0.14862865035517	0.299575769534333	0.153166929755328	
L9	0.307024467245462	0.146852801894238	0.314078531965272	0.146902131018153	0.135951065509077	0.137578926598264	0.140785319652723	0	0.146655485398579	0.30421270718232	0.15060181531176	
L10	0.303028808208366	0.14147592738753	0.307912391475927	0.144583662194159	0.152081689029203	0.146507498026835	0.14862865035517	0.146655485398579	0	0.300217048145225	0.154498816101026	
L3	0.195392659826361	0.298145224940805	0.207182320441989	0.304410023677979	0.305692580899763	0.300907655880032	0.299575769534333	0.30421270718232	0.300217048145225	0	0.300414364640884	
L11	0.303916732438832	0.151341752170481	0.310082872928177	0.161552880820837	0.151489739542226	0.149861878453039	0.153166929755328	0.15060181531176	0.154498816101026	0.300414364640884	0	
